Resort,City,State,Country,Region
Arapahoe Basin,Keystone,CO,USA,Rockies
Aspen/Snowmass,Aspen,CO,USA,Rockies
Aspen Highlands,Aspen,CO,USA,Rockies
Aspen Mountain,Aspen,CO,USA,Rockies
Buttermilk,Aspen,CO,USA,Rockies
Snowmass,Snowmass,CO,USA,Rockies
Beaver Creek Resort,Beaver Creek,CO,USA,Rockies
Breckenridge Ski Resort,Breckenridge,CO,USA,Rockies
Copper Mountain Resort,Copper Mountain,CO,USA,Rockies
Crested Butte Mountain Resort,Mount Crested Butte,CO,USA,Rockies
Durango Mountain Resort,Durango,CO,USA,Rockies
Echo Mountain Park,Evergreen,CO,USA,Rockies
Hesperus Ski Area,Hesperus,CO,USA,Rockies
Howelsen Ski Area,Steamboat Springs,CO,USA,Rockies
Kendall Mountain,Silverton,CO,USA,Rockies
Keystone Resort,Keystone,CO,USA,Rockies
Loveland Ski Area,Georgetown,CO,USA,Rockies
Loveland Basin Ski Area,Georgetown,CO,USA,Rockies
Loveland Valley Ski Area,Georgetown,CO,USA,Rockies
Monarch Ski Area,Salida,CO,USA,Rockies
Powderhorn Resort,Mesa,CO,USA,Rockies
Silverton Mountain,Silverton,CO,USA,Rockies
Ski Cooper,Leadville,CO,USA,Rockies
SolVista Basin,Granby,CO,USA,Rockies
Steamboat Ski Resort,Steamboat Springs,CO,USA,Rockies
Sunlight Mountain Resort,Glenwood Springs,CO,USA,Rockies
Telluride Ski Resort,Telluride,CO,USA,Rockies
Vail Ski Resort,Vail,CO,USA,Rockies
Winter Park Resort,Winter Park,CO,USA,Rockies
Wolf Creek Ski Area,Pagosa Springs,CO,USA,Rockies
Bald Mountain,Pierce,ID,USA,Rockies
Bogus Basin,Boise,ID,USA,Rockies
Brundage Mountain,McCall,ID,USA,Rockies
Cottonwood Butte,Cottonwood,ID,USA,Rockies
Kelly Canyon,Ririe,ID,USA,Rockies
Little Ski Hill,McCall,ID,USA,Rockies
Lost Trail Powder Mountain,North Fork,ID,USA,Rockies
Lookout Pass,Mullan,ID,USA,Rockies
Magic Mountain,Hansen,ID,USA,Rockies
Pebble Creek,Inkom,ID,USA,Rockies
Pomerelle,Albion,ID,USA,Rockies
Rotarun,Hailey,ID,USA,Rockies
Schweitzer Mountain,Sandpoint,ID,USA,Rockies
Silver Mountain,Kellogg,ID,USA,Rockies
Snowhaven,Grangeville,ID,USA,Rockies
Soldier Mountain,Fairfield,ID,USA,Rockies
Sun Valley,Ketchum,ID,USA,Rockies
Tamarack,Donnelly,ID,USA,Rockies
Big Sky,Big Sky,MT,USA,Rockies
Blacktail Mountain,Lakeside,MT,USA,Rockies
Bridger Bowl,Bozeman,MT,USA,Rockies
Discovery,Anaconda,MT,USA,Rockies
Great Divide,Marysville,MT,USA,Rockies
Lost Trail Powder Mountain,Conner,MT,USA,Rockies
Maverick Mountain,Dillon,MT,USA,Rockies
Montana Snowbowl,Missoula,MT,USA,Rockies
Moonlight Basin,Big Sky,MT,USA,Rockies
Red Lodge Mountain Resort,Red Lodge,MT,USA,Rockies
Showdown,Neihart,MT,USA,Rockies
Teton Pass,Choteau,MT,USA,Rockies
Turner Mountain,Libby,MT,USA,Rockies
Big Mountain,Whitefish,MT,USA,Rockies
Yellowstone Club,Big Sky,MT,USA,Rockies
Angel Fire Resort,Angel Fire,NM,USA,Southwest
Pajarito Mountain,Los Alamos,NM,USA,Southwest
Red River Ski Area,Red River,NM,USA,Southwest
Ski Apache,Ruidoso,NM,USA,Southwest
Ski Santa Fe,Santa Fe,NM,USA,Southwest
Sipapu,Vadito,NM,USA,Southwest
Taos Ski Valley,Taos,NM,USA,Southwest
Sandia Peak,Albuquerque,NM,USA,Southwest
Ski Cloudcroft,Cloudcroft,NM,USA,Southwest
Mt Aggie Ski Slope,College Station,TX,USA,Southwest
Alta,Alta,UT,USA,Wasatch
Brian Head,Brian Head,UT,USA,Wasatch
Brighton,Big Cottonwood Canyon,UT,USA,Wasatch
Cherry Peak Resort,Richmond,UT,USA,Wasatch
Deer Valley,Park City,UT,USA,Wasatch
Eagle Point Ski Resort,Beaver,UT,USA,Wasatch
Park City Mountain Resort,Park City,UT,USA,Wasatch
Powder Mountain,Eden,UT,USA,Wasatch
Snowbasin,Huntsville,UT,USA,Wasatch
Snowbird,Snowbird,UT,USA,Wasatch
Solitude,Big Cottonwood Canyon,UT,USA,Wasatch
Sundance,Sundance,UT,USA,Wasatch
Wolf Mountain,Eden,UT,USA,Wasatch
Beartooth Pass,Cody,WY,USA,Tetons
Big Horn,Ten Sleep,WY,USA,Tetons
Grand Targhee,Driggs,WY,USA,Tetons
